/tsm_fpool,3.7T,2.2T,1.5T,61%,TSM_OPBHE,2022/06/24
/tsm_archivelog,838G,545G,294G,65%,TSM_OPBHE,2022/06/24
/tsm_backup_db,559G,130G,429G,24%,TSM_OPBHE,2022/06/24
/tsm_fpool_copia,8.1T,6.8T,1.4T,84%,TSM_OPBHE,2022/06/24
/tsm_db,559G,71G,489G,13%,TSM_OPBHE,2022/06/24
/tsm_activelog,559G,30G,530G,6%,TSM_OPBHE,2022/06/24
/tsm_archivelog,300G,816M,300G,1%,TSM_OPBLM,2022/06/24
/tsm_activelog,300G,31G,270G,11%,TSM_OPBLM,2022/06/24
/tsm_fpool_copia,5.7T,4.8T,954G,84%,TSM_OPBLM,2022/06/24
/tsm_db,300G,185G,116G,62%,TSM_OPBLM,2022/06/24
/tsm_fpool,2.5T,1010G,1.5T,41%,TSM_OPBLM,2022/06/24
/tsm_fpool,3.0T,2.5T,517G,83%,TSM_OPBSA,2022/06/24
/tsm_fpool_copia,4.7T,4.5T,161G,97%,TSM_OPBSA,2022/06/24
/tsm_fpool_disco,5.0T,3.0G,5.0T,1%,TSM_OPBSA,2022/06/24
/tsm_backup_db,300G,33M,300G,1%,TSM_OPBSA,2022/06/24
/tsm_db,300G,257G,44G,86%,TSM_OPBSA,2022/06/24
/tsm_activelog,50G,30G,21G,59%,TSM_OPBSA,2022/06/24
/tsm_archivelog,150G,1.1G,149G,1%,TSM_OPBSA,2022/06/24
/tsm_db,300G,18G,283G,6%,TSM_OPCTA,2022/06/24
/tsm_archivelog,150G,891M,150G,1%,TSM_OPCTA,2022/06/24
/tsm_backup_db,300G,33G,268G,11%,TSM_OPCTA,2022/06/24
/tsm_fpool,700G,456G,245G,66%,TSM_OPCTA,2022/06/24
/tsm_activelog,50G,30G,21G,59%,TSM_OPCTA,2022/06/24
/tsm_fpool_copia,2.0T,693G,1.3T,35%,TSM_OPCTA,2022/06/24
/tsm_activelog,50G,31G,20G,61%,TSM_OPFLA,2022/06/24
/tsm_archivelog,150G,62M,150G,1%,TSM_OPFLA,2022/06/24
/tsm_backup_db,300G,46G,255G,16%,TSM_OPFLA,2022/06/24
/tsm_fpool,1.4T,392G,1008G,28%,TSM_OPFLA,2022/06/24
/tsm_db,300G,28G,273G,10%,TSM_OPFLA,2022/06/24
/tsm_fpool_copia,4.0T,1.9T,2.2T,47%,TSM_OPFLA,2022/06/24
/tsm_fpool,525G,214G,312G,41%,TSM_OPFNS,2022/06/24
/tsm_fpool_copia,1.3T,876G,445G,67%,TSM_OPFNS,2022/06/24
/tsm_backup_db,200G,51G,150G,26%,TSM_OPFNS,2022/06/24
/tsm_activelog,50G,50G,976M,99%,TSM_OPFNS,2022/06/24
/tsm_archivelog,150G,201M,150G,1%,TSM_OPFNS,2022/06/24
/tsm_db,200G,11G,190G,6%,TSM_OPFNS,2022/06/24
/tsm_db,300G,71G,230G,24%,TSM_OPPAE,2022/06/24
/tsm_archivelog,150G,45G,106G,30%,TSM_OPPAE,2022/06/24
/tsm_activelog,50G,31G,20G,62%,TSM_OPPAE,2022/06/24
/tsm_fpool_copia,7.0T,4.7T,2.4T,67%,TSM_OPPAE,2022/06/24
/tsm_fpool,1.7T,1015G,727G,59%,TSM_OPPAE,2022/06/24
/tsm_backup_db,200G,156G,45G,78%,TSM_OPPAE,2022/06/24
/tsm_fpool,3.0T,1.1T,2.0T,36%,TSM_OPRCE,2022/06/24
/tsm_db,300G,84G,217G,28%,TSM_OPRCE,2022/06/24
/tsm_archivelog,300G,7.7G,293G,3%,TSM_OPRCE,2022/06/24
/tsm_activelog,100G,45G,56G,45%,TSM_OPRCE,2022/06/24
/tsm_backup_db,300G,200G,101G,67%,TSM_OPRCE,2022/06/24
/tsm_fpool_copia,9.6T,5.6T,4.1T,58%,TSM_OPRCE,2022/06/24
/tsm_archivelog,150G,1.3G,149G,1%,TSM_OPRJO,2022/06/24
/tsm_activelog,50G,33G,18G,65%,TSM_OPRJO,2022/06/24
/tsm_db,300G,101G,200G,34%,TSM_OPRJO,2022/06/24
/tsm_backup_db,1.0T,227G,798G,23%,TSM_OPRJO,2022/06/24
/tsm_fpool_copia,15T,4.6T,11T,31%,TSM_OPRJO,2022/06/24
/tsm_fpool,7.0T,926G,6.1T,13%,TSM_OPRJO,2022/06/24
/tsm_backup_db,300G,172G,129G,58%,TSM_OPSDR,2022/06/24
/tsm_fpool_copia,6.0T,5.9T,100G,99%,TSM_OPSDR,2022/06/24
/tsm_fpool,1.5T,1.3T,269G,83%,TSM_OPSDR,2022/06/24
/tsm_activelog,50G,31G,20G,62%,TSM_OPSDR,2022/06/24
/tsm_db,300G,90G,211G,30%,TSM_OPSDR,2022/06/24
/tsm_archivelog,150G,8.4G,142G,6%,TSM_OPSDR,2022/06/24
/tsm_activelog,50G,30G,21G,59%,TSM_OPSPO,2022/06/24
/tsm_archivelog,150G,892M,150G,1%,TSM_OPSPO,2022/06/24
/tsm_backup_db,500G,183G,318G,37%,TSM_OPSPO,2022/06/24
/tsm_fpool_disco,5.0T,35M,5.0T,1%,TSM_OPSPO,2022/06/24
/tsm_fpool,2.0T,1.1T,970G,53%,TSM_OPSPO,2022/06/24
/tsm_db,200G,97G,103G,49%,TSM_OPSPO,2022/06/24
